iter	Passed	Remaining
0	2	199
1	3	185
2	5	179
3	7	174
4	9	179
5	11	178
6	13	183
7	15	181
8	17	179
9	19	176
10	21	175
11	23	173
12	25	170
13	28	176
14	30	175
15	33	173
16	35	172
17	37	170
18	39	169
19	41	167
20	43	164
21	45	161
22	47	158
23	49	156
24	51	153
25	53	150
26	55	149
27	57	147
28	59	145
29	61	143
30	63	142
31	66	140
32	68	139
33	70	137
34	72	134
35	74	132
36	76	130
37	78	128
38	80	126
39	82	123
40	84	121
41	85	117
42	87	115
43	89	113
44	90	111
45	92	108
46	94	106
47	96	104
48	98	102
49	100	100
50	102	98
51	104	96
52	106	94
53	108	92
54	109	89
55	111	87
56	113	85
57	115	83
58	117	81
59	119	79
60	121	77
61	123	75
62	124	73
63	126	71
64	129	69
65	131	67
66	132	65
67	134	63
68	136	61
69	139	59
70	141	57
71	142	55
72	144	53
73	146	51
74	148	49
75	150	47
76	151	45
77	153	43
78	155	41
79	157	39
80	159	37
81	161	35
82	165	33
83	168	32
84	170	30
85	174	28
86	178	26
87	180	24
88	184	22
89	186	20
90	190	18
91	193	16
92	195	14
93	198	12
94	200	10
95	202	8
96	206	6
97	208	4
98	211	2
99	213	0
