iter	Passed	Remaining
0	137	137192
1	143	71487
2	147	48959
3	149	37324
4	152	30283
5	154	25542
6	156	22156
7	158	19715
8	161	17791
9	163	16140
10	164	14793
11	166	13667
12	167	12691
13	168	11853
14	170	11180
15	175	10770
16	179	10404
17	184	10039
18	188	9723
19	191	9369
20	193	9033
21	195	8706
22	197	8407
23	200	8134
24	201	7867
25	203	7619
26	205	7390
27	206	7165
28	207	6956
29	209	6760
30	210	6575
31	211	6400
32	212	6236
33	214	6084
34	215	5936
35	216	5797
36	217	5661
37	218	5531
38	219	5406
39	220	5292
40	221	5180
41	222	5074
42	223	4974
43	224	4875
44	225	4781
45	226	4691
46	227	4605
47	228	4530
48	230	4464
49	231	4401
50	232	4330
51	233	4258
52	234	4190
53	235	4125
54	236	4061
55	237	3999
56	238	3940
57	239	3883
58	240	3827
59	241	3778
60	242	3732
61	243	3688
62	244	3643
63	246	3603
64	247	3558
65	248	3513
66	249	3469
67	250	3427
68	250	3385
69	251	3344
70	252	3306
71	253	3269
72	254	3232
73	255	3197
74	256	3167
75	258	3147
76	259	3116
77	260	3084
78	261	3052
79	262	3021
80	263	2991
81	264	2961
82	265	2929
83	266	2901
84	266	2874
85	267	2847
86	268	2821
87	269	2797
88	271	2775
89	272	2752
90	273	2734
91	274	2710
92	275	2687
93	276	2664
94	277	2641
95	278	2620
96	279	2598
97	280	2577
98	280	2556
99	281	2536
100	282	2516
101	283	2499
102	284	2481
103	286	2466
104	287	2449
105	288	2432
106	289	2414
107	290	2397
108	291	2380
109	291	2362
110	292	2346
111	293	2329
112	294	2313
113	295	2297
114	296	2282
115	297	2267
116	298	2251
117	299	2236
118	300	2224
119	301	2210
120	302	2198
121	303	2183
122	304	2169
123	305	2156
124	306	2142
125	306	2129
126	307	2114
127	308	2102
128	309	2090
129	310	2077
130	311	2065
131	312	2054
132	313	2042
133	314	2030
134	315	2020
135	316	2009
136	317	1998
137	318	1987
138	319	1976
139	319	1965
140	320	1954
141	321	1942
142	322	1932
143	323	1922
144	324	1911
145	325	1901
146	326	1892
147	327	1882
148	327	1872
149	328	1863
150	330	1855
151	331	1846
152	332	1838
153	332	1829
154	333	1820
155	334	1811
156	335	1802
157	336	1794
158	337	1785
159	338	1777
160	339	1767
161	340	1759
162	340	1750
163	341	1742
164	342	1735
165	343	1727
166	344	1720
167	346	1713
168	347	1706
169	347	1698
170	348	1691
171	349	1684
172	350	1676
173	351	1669
174	352	1662
175	353	1654
176	354	1647
177	355	1640
178	356	1633
179	357	1626
180	357	1619
181	359	1613
182	360	1607
183	361	1601
184	362	1595
185	362	1588
186	363	1581
187	364	1575
188	365	1569
189	366	1562
190	367	1556
191	368	1550
192	369	1544
193	370	1537
194	371	1531
195	371	1525
196	372	1519
197	373	1514
198	374	1508
199	376	1505
